min,max,avg,stdVar
1.39493018777 , 26.1584795448 , 10.716509091 , 3.95309793271
1.83155017384 , 27.3827283656 , 11.1770254762 , 4.59893976681
1.94350203905 , 27.3827283656 , 11.0260248733 , 4.1230387465
1.87392432473 , 26.5969697627 , 11.1168239958 , 4.14345915245
1.70843362369 , 26.5969697627 , 11.1848560411 , 4.44263253816
1.30131856336 , 25.5152876735 , 11.243035722 , 4.56968749972
1.30131856336 , 27.6767260619 , 11.2603142675 , 4.67716524708
1.30638316759 , 28.658363152 , 11.2588852491 , 4.68743935633
1.24483756924 , 28.8598370809 , 11.1621363569 , 4.61884164371
1.24483756924 , 28.8598370809 , 10.7506762969 , 3.71959965659
2.28915730659 , 24.9377983523 , 10.7650783644 , 3.68167103778
2.28915730659 , 24.9377983523 , 10.7062203052 , 3.47657840667
2.46777045429 , 25.3989910247 , 10.6639101221 , 3.1016969802
2.46777045429 , 25.3989910247 , 10.7771314298 , 3.38427026821
2.89948012467 , 24.6114319374 , 10.304762605 , 2.06089777577
5.43287767416 , 17.0391821405 , 10.1010914785 , 1.21308456696
5.43287767416 , 17.0391821405 , 10.129507211 , 1.38155212004
7.10710033284 , 15.1948414218 , 10.0243001088 , 0.673033871196
9.84823655895 , 10.1496075883 , 9.98560558779 , 0.0371097296292
9.84823655895 , 10.1532216818 , 9.99167920846 , 0.0360812465441
6.83695480551 , 17.9800923609 , 10.0243659625 , 0.776754501263
6.83695480551 , 17.9800923609 , 10.0786897403 , 1.09157370516
6.28518763884 , 18.0852309601 , 10.1605910547 , 1.33970849299
6.28518763884 , 18.0852309601 , 10.1213431326 , 1.18980745317
8.36370608527 , 13.676324074 , 10.0091208168 , 0.457519264604
7.10999047252 , 14.9481163306 , 10.0160979072 , 0.498581172524
6.38122963731 , 18.9841971502 , 10.0942713777 , 1.15261973683
5.95748213423 , 18.9841971502 , 10.1717403373 , 1.49832827965
5.95748213423 , 17.4990253637 , 10.1483850147 , 1.30853796368
7.2001284328 , 14.8532288122 , 10.0938498917 , 0.982571076021
7.2364168449 , 16.6245860981 , 10.1127692756 , 1.18802394047
6.41860427285 , 16.6245860981 , 10.1363064589 , 1.32396802457
6.41860427285 , 15.6633939454 , 10.1232205538 , 1.24264266769
6.03080351991 , 16.6270566876 , 10.1595996066 , 1.38973104524
6.03080351991 , 16.6270566876 , 10.1478306156 , 1.31649847777
2.33548453694 , 25.4265647216 , 10.3520686159 , 2.3240903819
2.33548453694 , 25.851077586 , 10.6915384558 , 3.42588175365
2.91789446038 , 25.851077586 , 10.4602455761 , 2.75161445225
4.82123517883 , 16.1656044023 , 10.0803205375 , 0.755505979368
4.82123517883 , 12.0495561574 , 10.010540456 , 0.304842127495
9.16151612123 , 11.5065245392 , 10.0093010163 , 0.192239397832
5.74978582234 , 23.4289016671 , 10.0924032844 , 0.993910850079
5.74978582234 , 23.4289016671 , 10.1008606959 , 1.02563746165
5.19426780039 , 16.2137345099 , 10.0079770515 , 0.483040730978
