"soundLevel","status"
"59.97903553826765","LobbyRMS"
"59.923995127988455","LobbyRMS"
"46.39063957932939","LobbyRMS"
"65.36861008802785","LobbyRMS"
"63.85075295567744","LobbyRMS"
"62.913242110637","LobbyRMS"
"65.63943945656773","LobbyRMS"
"66.28243747645587","LobbyRMS"
"59.06806423606251","LobbyRMS"
"54.47746704676283","LobbyRMS"
"48.072484903090896","LobbyRMS"
"37.661312708392494","LobbyRMS"
"34.51034665833731","LobbyRMS"
"39.68214350105431","LobbyRMS"
"31.7974921814662","LobbyRMS"
"30.330796142109683","LobbyRMS"
"37.07456065667415","LobbyRMS"
"40.75871164127432","LobbyRMS"
"36.9779922547432","LobbyRMS"
"43.11298722348769","LobbyRMS"
"42.19841988901362","LobbyRMS"
"42.12597788115675","LobbyRMS"
"40.927380474677385","LobbyRMS"
"40.482010758408336","LobbyRMS"
"39.68641620924977","LobbyRMS"
"38.40306828846592","LobbyRMS"
"48.707993074343555","LobbyRMS"
"41.69494649843595","LobbyRMS"
"36.091874009468484","LobbyRMS"
"40.16536023684561","LobbyRMS"
"39.475698388230654","LobbyRMS"
"42.07069213382588","LobbyRMS"
"42.98944709834018","LobbyRMS"
"40.67438340154802","LobbyRMS"
"41.129495243049355","LobbyRMS"
"44.15683454537886","LobbyRMS"
"46.495337481533696","LobbyRMS"
"50.155469482256976","LobbyRMS"
"52.313211444782496","LobbyRMS"
"52.13195485909024","LobbyRMS"
"46.78200558324197","LobbyRMS"
"47.59464132870684","LobbyRMS"
"47.39539402775183","LobbyRMS"
"46.38891035239465","LobbyRMS"
"47.62032225843927","LobbyRMS"
"48.17768742544511","LobbyRMS"
"46.38300303995982","LobbyRMS"
"42.01803871472633","LobbyRMS"
"40.184640019670496","LobbyRMS"
"42.212238662413014","LobbyRMS"
"39.67817717769337","LobbyRMS"
"39.69709963418689","LobbyRMS"
"35.13586398078002","LobbyRMS"
"37.07324618540551","LobbyRMS"
"36.747251872385604","LobbyRMS"
"42.46185430141098","LobbyRMS"
"40.62518380575163","LobbyRMS"
"44.579256360814064","LobbyRMS"
"46.8795293956855","LobbyRMS"
"46.08091505072526","LobbyRMS"
"40.677066729776286","LobbyRMS"
"45.04706657246456","LobbyRMS"
"47.23885123317716","LobbyRMS"
"50.245200285309835","LobbyRMS"
"45.714634803725545","LobbyRMS"
"50.07367040219367","LobbyRMS"
"41.895678374335304","LobbyRMS"
"40.84439701676425","LobbyRMS"
"49.2779753718841","LobbyRMS"
"60.695495132896895","LobbyRMS"
"65.04177551508255","LobbyRMS"
"53.95441962447556","LobbyRMS"
"45.475078991247926","LobbyRMS"
"44.909140348085","LobbyRMS"
"45.02534602676145","LobbyRMS"
"44.4592319136146","LobbyRMS"
"43.5918470895017","LobbyRMS"
"44.3080753379272","LobbyRMS"
"42.450134667270035","LobbyRMS"
"49.62888195024586","LobbyRMS"
"69.8203309465199","LobbyRMS"
"64.51908044689901","LobbyRMS"
"63.400595928075525","LobbyRMS"
"58.00572771757825","LobbyRMS"
"49.89328719227335","LobbyRMS"
"46.743054358833035","LobbyRMS"
"47.32629975143513","LobbyRMS"
"45.979665780020966","LobbyRMS"
"47.19377678231478","LobbyRMS"
"48.45761020323079","LobbyRMS"
"50.574344497094856","LobbyRMS"
"48.996245317194294","LobbyRMS"
"46.709570598153","LobbyRMS"
"56.26736641467802","LobbyRMS"
"56.262047454815466","LobbyRMS"
"58.75093917942332","LobbyRMS"
"55.46573849321213","LobbyRMS"
"53.91581034024965","LobbyRMS"
"56.04941686961173","LobbyRMS"
"57.24766788438789","LobbyRMS"
"69.52679768167627","LobbyRMS"
"71.53749315813012","LobbyRMS"
"49.43007524305667","LobbyRMS"
"43.89072942030569","LobbyRMS"
"50.84483639788607","LobbyRMS"
"43.50826853299352","LobbyRMS"
"42.57615304381963","LobbyRMS"
"41.54813259852094","LobbyRMS"
"42.2301523025628","LobbyRMS"
"39.19222778594593","LobbyRMS"
"41.47494323871024","LobbyRMS"
"40.05012677777111","LobbyRMS"
"43.38324958909428","LobbyRMS"
"52.527271143362924","LobbyRMS"
"45.666803154204075","LobbyRMS"
"42.989889426794115","LobbyRMS"
"42.400805181927666","LobbyRMS"
"39.82502137989452","LobbyRMS"
"43.28095412687851","LobbyRMS"
"38.30923071350976","LobbyRMS"
"44.64546247740268","LobbyRMS"
"45.473210852744145","LobbyRMS"
"43.97361536915979","LobbyRMS"
"43.11215790534504","LobbyRMS"
"43.44318498153568","LobbyRMS"
"47.72859999932335","LobbyRMS"
"42.905858293160406","LobbyRMS"
"40.659298063632654","LobbyRMS"
"39.33708681100656","LobbyRMS"
"36.59871280459968","LobbyRMS"
"36.44577054153183","LobbyRMS"
"36.678026846895634","LobbyRMS"
"37.43588456325257","LobbyRMS"
"39.00710553231704","LobbyRMS"
"36.842490874577265","LobbyRMS"
"37.819925342743055","LobbyRMS"
"38.357928425364975","LobbyRMS"
"39.90480377090479","LobbyRMS"
"36.66215875872642","LobbyRMS"
"37.776499391407114","LobbyRMS"
"38.58671812881293","LobbyRMS"
"37.777764531652885","LobbyRMS"
"38.43840839603369","LobbyRMS"
"40.4105758161279","LobbyRMS"
"39.77857515916941","LobbyRMS"
"39.017536651635304","LobbyRMS"
"38.891966185484065","LobbyRMS"
"40.440369612391564","LobbyRMS"
"39.987092810924615","LobbyRMS"
"39.757959016734816","LobbyRMS"
"41.571343559684024","LobbyRMS"
"40.998168222557986","LobbyRMS"
"42.707757920432776","LobbyRMS"
"40.43804208110383","LobbyRMS"
"41.97204614578838","LobbyRMS"
