"mean","median","stdDev","status"
55.5016,55.802,4.1639,"Cinema"
58.2588,58.3513,2.0519,"Cinema"
59.0598,59.155,1.7954,"Cinema"
57.6583,57.9941,2.5649,"Cinema"
54.1012,54.6037,4.0376,"Cinema"
49.1948,49.1912,3.3761,"Cinema"
40.7092,42.1726,8.1042,"Cinema"
55.55,55.4513,2.6397,"Cinema"
54.9824,54.7702,2.7298,"Cinema"
52.7055,52.4525,2.6131,"Cinema"
58.104,58.2928,2.4141,"Cinema"
57.0978,57.1412,2.5015,"Cinema"
49.5557,49.7002,6.7915,"Cinema"
