"soundLevel","timestamp","status"
"58.108867598136385","1418395758220","Lobby"
"60.250041838334134","1418395758237","Lobby"
"57.53198812170979","1418395758257","Lobby"
"36.678759504540054","1418395758297","Lobby"
"40.470860092539226","1418395758317","Lobby"
"40.97368630035457","1418395758357","Lobby"
"37.993464735690566","1418395758399","Lobby"
"41.184499666760985","1418395758417","Lobby"
"37.79214760310067","1418395758457","Lobby"
"39.3550510095957","1418395758477","Lobby"
"39.25293554930737","1418395758497","Lobby"
"46.14325683921403","1418395758537","Lobby"
"38.338575004746644","1418395758577","Lobby"
"39.08398930566634","1418395758597","Lobby"
"36.15373364502875","1418395758637","Lobby"
"63.824402178471786","1418395758677","Lobby"
"49.39695980281812","1418395758697","Lobby"
"36.07528320977939","1418395758737","Lobby"
"33.49107468372932","1418395758757","Lobby"
"54.688272333853114","1418395758777","Lobby"
"51.797921578484264","1418395758797","Lobby"
"41.75372382056136","1418395758817","Lobby"
"37.29863701419312","1418395758857","Lobby"
"45.17636754448593","1418395758897","Lobby"
"39.9514276995762","1418395758917","Lobby"
"39.227937570394786","1418395758957","Lobby"
"36.93000709261524","1418395758997","Lobby"
"36.812910681120364","1418395759018","Lobby"
"36.23042838358347","1418395759057","Lobby"
"36.35280673585687","1418395759097","Lobby"
"38.678195280573554","1418395759138","Lobby"
"37.29783431191472","1418395759177","Lobby"
"35.55535116247749","1418395759197","Lobby"
"34.026629728679694","1418395759217","Lobby"
"36.169495262183275","1418395759237","Lobby"
"33.67042727001027","1418395759257","Lobby"
"32.55937386312167","1418395759277","Lobby"
"34.087982462311196","1418395759297","Lobby"
"36.99914584746492","1418395759339","Lobby"
"43.16112841345095","1418395759377","Lobby"
"39.89330562207115","1418395759397","Lobby"
"39.15303354921625","1418395759417","Lobby"
"38.88515803190727","1418395759437","Lobby"
"35.915354463799254","1418395759457","Lobby"
"40.26028021700115","1418395759477","Lobby"
"38.52366563614194","1418395759517","Lobby"
"36.55385702680353","1418395759557","Lobby"
"39.15277375796258","1418395759597","Lobby"
"37.6855428153802","1418395759638","Lobby"
"39.0762924279467","1418395759677","Lobby"
"40.59528067324482","1418395759697","Lobby"
"38.88248619825281","1418395759718","Lobby"
"36.50149233663682","1418395759737","Lobby"
"34.49910285202643","1418395759758","Lobby"
"35.32739951356435","1418395759777","Lobby"
"40.900136439125646","1418395759817","Lobby"
"47.21427760550001","1418395759837","Lobby"
"43.031225378090866","1418395759857","Lobby"
"40.84338289064025","1418395759877","Lobby"
"35.64281300655536","1418395759957","Lobby"
"34.19926075502808","1418395759977","Lobby"
"37.043472753599104","1418395760017","Lobby"
"36.06416216784948","1418395760057","Lobby"
"40.28935489956898","1418395760097","Lobby"
"39.38892083721424","1418395760137","Lobby"
"38.579498526429155","1418395760157","Lobby"
"46.76086494649822","1418395760197","Lobby"
"45.77466980505307","1418395760237","Lobby"
"40.83454046767663","1418395760277","Lobby"
"39.20747021580661","1418395760297","Lobby"
"35.48831664940664","1418395760339","Lobby"
"41.835608702948306","1418395760377","Lobby"
"43.44547230581901","1418395760397","Lobby"
"42.524315540560025","1418395760437","Lobby"
"40.62644256840058","1418395760457","Lobby"
"36.851628066143505","1418395760497","Lobby"
"37.93187749743767","1418395760537","Lobby"
"40.23266770790423","1418395760557","Lobby"
"40.4097932269236","1418395760597","Lobby"
"38.40180859864759","1418395760638","Lobby"
"37.32542017930995","1418395760657","Lobby"
"35.77716141727424","1418395760697","Lobby"
"37.77664092428401","1418395760737","Lobby"
"37.0627594405396","1418395760777","Lobby"
"39.544420807029724","1418395760797","Lobby"
"41.650139728267305","1418395760841","Lobby"
"41.24367161616841","1418395760877","Lobby"
"39.149456961329584","1418395760917","Lobby"
"38.92175503381689","1418395760963","Lobby"
"38.66555920333536","1418395760977","Lobby"
"34.08514228539687","1418395761017","Lobby"
"33.550689553384125","1418395761037","Lobby"
"33.60561612967148","1418395761057","Lobby"
"34.39106851340015","1418395761097","Lobby"
"33.883621174581506","1418395761118","Lobby"
"36.51824098174538","1418395761137","Lobby"
"34.388796562686025","1418395761157","Lobby"
"39.71307384401951","1418395761197","Lobby"
"46.7008781403553","1418395761237","Lobby"
"42.513235242778336","1418395761257","Lobby"
"40.846717720083554","1418395761297","Lobby"
"45.43825382385985","1418395761340","Lobby"
"46.19007397915048","1418395761357","Lobby"
"47.40127403489589","1418395761397","Lobby"
"46.14236823091241","1418395761437","Lobby"
"42.20357069661215","1418395761457","Lobby"
"49.05169993265606","1418395761497","Lobby"
"42.643030472543764","1418395761537","Lobby"
"41.989735015593865","1418395761557","Lobby"
"41.508906974352215","1418395761597","Lobby"
"41.042224251490445","1418395761637","Lobby"
"40.74813584637771","1418395761657","Lobby"
"41.94380989189565","1418395761697","Lobby"
"42.58804839227013","1418395761717","Lobby"
"43.136475305245796","1418395761737","Lobby"
"40.09147019751081","1418395761777","Lobby"
"41.87936375576218","1418395761817","Lobby"
"43.8602662533182","1418395761857","Lobby"
"44.784305318439486","1418395761877","Lobby"
"46.34317040985506","1418395761917","Lobby"
"45.6465020873794","1418395761937","Lobby"
"46.6967357246949","1418395761957","Lobby"
"41.87721495960267","1418395761997","Lobby"
"41.67804304216225","1418395762017","Lobby"
"43.057498553384804","1418395762037","Lobby"
"44.15409837228744","1418395762097","Lobby"
"45.64746488557216","1418395762117","Lobby"
"39.670561257677946","1418395762157","Lobby"
"44.71155858161427","1418395762177","Lobby"
"42.1371568442918","1418395762217","Lobby"
"38.97265529824246","1418395762257","Lobby"
"35.33514385644816","1418395762277","Lobby"
