status,min,max,avg,stdVar
Cinema , 36.8068281293 , 69.9148858126 , 48.8241459937 , 21.7871085772
Cinema , 37.8667851248 , 64.7526477651 , 52.7644418051 , 17.8310962479
Cinema , 32.6429566252 , 66.1426750749 , 55.2493869813 , 18.5430182076
Cinema , 32.6429566252 , 66.1426750749 , 56.2231021463 , 19.5013108429
Cinema , 52.5760090554 , 63.6225448218 , 57.6792105823 , 21.5049221196
Cinema , 50.033627052 , 63.7434198124 , 57.38405425 , 21.0506651709
Cinema , 48.1485030628 , 65.5932888696 , 56.8468917211 , 20.2840357834
Cinema , 45.10946164 , 65.5932888696 , 55.7714690741 , 19.0144441404
Cinema , 41.86888935 , 64.7879024085 , 55.1418750503 , 18.4587716803
Cinema , 41.86888935 , 66.6708994205 , 56.8409633368 , 20.2760334579
Cinema , 47.9881629543 , 66.6708994205 , 57.8085308901 , 21.7108342393
Cinema , 50.5558223238 , 64.7432877679 , 57.409485035 , 21.088918817
Cinema , 52.066478901 , 64.9793909258 , 58.9785623619 , 23.7433877101
Cinema , 53.7953468163 , 66.2216745317 , 60.5201127159 , 26.79793029
Cinema , 47.8300704493 , 66.2216745317 , 59.6237302014 , 24.9768202007
Cinema , 47.8300704493 , 65.1293916968 , 59.215204864 , 24.1874939538
Cinema , 42.3387054477 , 65.1210352379 , 56.6498000553 , 20.0236317053
Cinema , 42.3387054477 , 63.2732980694 , 55.8863945913 , 19.1316109643
Cinema , 32.8680018759 , 65.1319890423 , 57.1999092182 , 20.7788238821
Cinema , 23.309366666 , 65.1528817656 , 49.245195085 , 21.1270912133
Cinema , 22.2528908527 , 65.1528817656 , 42.86912271 , 34.2332079535
Cinema , 19.747131347 , 64.5448984409 , 47.4079571198 , 24.2955297991
Cinema , 19.747131347 , 64.5448984409 , 53.5412932853 , 17.76729738
Cinema , 31.3626339612 , 64.5957302044 , 52.5337030139 , 17.9008069981
Cinema , 38.0561686054 , 64.5957302044 , 51.258162645 , 18.6874038308
Cinema , 39.0907000911 , 66.1165857794 , 55.0541082091 , 18.3933515251
Cinema , 49.0362262523 , 67.6493250776 , 58.3143271618 , 22.5538091953
Cinema , 49.8290318257 , 67.9899272419 , 60.1117318892 , 25.9541110075
Cinema , 41.6278276829 , 67.9899272419 , 59.1003357136 , 23.9706675552
Cinema , 41.6278276829 , 66.7717870126 , 57.9012736207 , 21.8609910884
Cinema , 48.8600517735 , 65.6909564814 , 57.9774478548 , 21.9858414957
Cinema , 33.6450702433 , 64.9617544532 , 55.3363581552 , 18.6144397751
Cinema , 33.6450702433 , 66.4747811826 , 55.166259816 , 18.4774847803
Cinema , 48.2517223346 , 66.9657421863 , 57.9967697439 , 22.0177250803
Cinema , 50.4046629277 , 68.3956144813 , 58.9005752582 , 23.5992601648
Cinema , 46.6122336565 , 68.3956144813 , 58.5350076657 , 22.9392025322
Cinema , 43.6095038186 , 66.368242346 , 58.1423951055 , 22.26077165
Cinema , 43.6095038186 , 69.5729891703 , 59.7118345753 , 25.1505985128
Cinema , 38.6292040286 , 69.7814188831 , 60.4108178949 , 26.5699198115
Cinema , 38.6292040286 , 69.7814188831 , 59.3502620332 , 24.4453611871
Cinema , 52.0198660234 , 67.8092437131 , 59.0101738074 , 23.8021286646
Cinema , 51.3656099604 , 68.3783723731 , 58.7930072304 , 23.4023394637
Cinema , 47.861186409 , 68.3783723731 , 58.2056554073 , 22.3678370936
