MagZ,MagY,MagX,AccY,AccX,AccZ,OrientZ,OrientX,OrientY,GyroZ,GyroX,GyroY,Light
NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA
NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA
-34.6199995,-20.53499975,-0.2550000025,-0.0919373444,-0.0536301178,9.8296342,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA
-34.524,-21.0719998,0.084000004,-0.1053448735,-0.0574608405,9.8258035,-0.413679165714,180.518248571,0.698141115,0.0,0.0,0.0,NO-DATA
-35.124,-20.8919998,-1.067999988,-0.11492168,-0.04788403375,9.81622675,-0.3007985275,179.7769525,0.7271292325,0.00115385658889,0.00590503073333,0.00475117411667,NO-DATA
-36.1079996,-20.4239996,-1.23599996,-0.1053448735,-0.04788403375,9.83538025,-0.288302105,178.81363,0.714980283333,0.00233239465,0.0130503029091,0.00916297863636,NO-DATA
-36.3479996,-20.676,-1.47599998,-0.1053448735,-0.0574608405,9.83538025,-0.289677158,178.163552,0.696357586,0.00231485783158,0.00964524065789,0.0100310502421,NO-DATA
-36.384,-20.46,-1.94399996,-0.11492168,-0.0574608405,9.8258035,-0.293158008,177.626108,0.68222394,0.00186474658421,0.0110598761053,0.0102239554211,NO-DATA
-36.4199996,-20.4959998,-1.61999998,-0.0861912605,-0.04788403375,9.844957,-0.31802922,177.064924,0.681297556,0.00427605678182,0.0103847091864,0.0107734418773,NO-DATA
-36.6479996,-20.7599996,-1.84799996,-0.076614454,-0.038307227,9.8258035,-0.31849768,176.7985,0.668285566,0.00115385661667,0.0135069092778,0.0128960440167,NO-DATA
-36.66,-20.72999975,-2.69999995,-0.11492168,-0.0574608405,9.844957,-0.321688158,176.423052,0.659768578,0.00323758578,0.01038470925,0.008857546145,NO-DATA
-36.4199996,-20.544,-2.41199998,-0.102152604667,-0.038307227,9.844957,-0.325684583333,175.967113333,0.655089376667,0.00216579501364,0.0119396388136,0.0111066409091,NO-DATA
-36.48,-20.0759998,-1.94399992,-0.102152604667,-0.038307227,9.844957,-0.331539738,175.703792,0.649586048,-0.000875600466842,0.00114237159789,-0.00284850673526,NO-DATA
-36.8699995,-20.355,-1.875,-0.102152604667,-0.0638453783333,9.844957,-0.329729032,175.555702,0.64800789,0.00188936859263,0.000756562036842,-0.00201258585474,NO-DATA
-36.76499925,-20.09999975,-2.324999975,-0.102152604667,-0.0510763026667,9.844957,-0.332309322,175.408924,0.64535392,0.00182506682421,0.000692260466316,-0.00194828433895,NO-DATA
-36.81,-20.42999975,-2.36999995,-0.0893835293333,-0.0510763026667,9.844957,-0.335064243333,175.186866667,0.638509305,0.0011627603845,0.000907670811,-0.0018325413445,NO-DATA
-37.094999,-20.71499975,-2.384999975,-0.102152604667,-0.0510763026667,9.844957,-0.3418863,175.017198,0.630401646,0.0016514525915,0.000602238257,-0.0009773301805,NO-DATA
-37.064999,-20.655,-2.579999975,-0.095768067,-0.076614454,9.844957,-0.342172556,174.85705,0.62833452,0.000924844433158,-1.505718e-05,-0.00059795059,NO-DATA
-36.9239996,-20.5319998,-2.60399996,-0.1053448735,-0.04788403375,9.844957,-0.358386965,174.709645,0.622361458333,0.00035197558,0.00083547775,0.00114403828091,NO-DATA
-36.5999996,-20.0999998,-2.47199998,-0.095768067,-0.038307227,9.844957,-0.371981568,174.565624,0.615826348,0.0016107281981,0.000346256497143,-0.00132057822571,NO-DATA
-36.4199996,-19.7639998,-2.30399992,-0.11492168,-0.038307227,9.85772633333,-0.36176687,174.440392,0.61720644,0.00266098779947,-0.000979581218947,-0.00284850671737,NO-DATA
-36.68999925,-19.7549995,-2.744999975,-0.11492168,-0.0638453783333,9.832188,-0.35217269,174.319528,0.625580054,0.0004297221095,-0.003185126305,-0.0045814350665,NO-DATA
-36.7559994,-20.2679996,-2.62799996,-0.0919373444,-0.0536301178,9.844957,-0.347608582,174.20032,0.629168816,0.000738369567053,0.00265988184737,0.00187764884789,NO-DATA
-37.1519996,-20.3159998,-2.52,-0.076614454,-0.0574608405,9.844957,-0.351717191667,174.12161,0.62250128,-0.000558769243455,0.00520037878636,0.000866358474091,NO-DATA
-37.245,-20.1599995,-2.804999975,-0.127690756667,-0.038307227,9.85772633333,-0.349590376,174.024754,0.59773006,-0.000187573558632,0.00597784363158,0.00252066338211,NO-DATA
-37.515,-19.91999975,-2.774999975,-0.067037647,-0.04788403375,9.844957,-0.355941626,173.92215,0.591440464,0.00212728423916,0.00353438268421,0.000784520076842,NO-DATA
-37.7279992,-20.0039996,-2.9759999,-0.1436521025,-0.02873042025,9.8258035,-0.346079046,173.808212,0.582442856,0.0003686353343,0.00414524784,0.000916338361,NO-DATA
-37.5239996,-19.9439996,-2.7839999,-0.076614454,-0.0191536135,9.844957,-0.346576318,173.714132,0.580858132,-0.00115209768716,0.00379158900526,0.00226345687316,NO-DATA
-37.4159996,-19.9199996,-2.84399994,-0.11492168,-0.04788403375,9.83538025,-0.35547717,173.646154,0.587482194,-0.000573383186421,0.00392019222105,0.00316367942737,NO-DATA
-37.5599992,-20.1119998,-2.9999999,-0.0893835293333,-0.0510763026667,9.844957,-0.370600544,173.565442,0.59350564,0.000712648877474,0.00372728754737,0.00451401299474,NO-DATA
-36.876,-19.9799996,-2.83199996,-0.1436521025,-0.0574608405,9.83538025,-0.383443691667,173.475263333,0.603133365,0.0009795005536,0.00432850742,0.0024435015065,NO-DATA
-36.803999,-19.7879996,-3.05999996,-0.0919373444,-0.0536301178,9.8372956,-0.392740422,173.384614,0.61128573,0.00270599867221,0.00372728757632,0.00123463122263,NO-DATA
-36.8999986,-20.5199998,-2.73599992,-0.0919373444,-0.0536301178,9.8296342,-0.397172048,173.29929,0.61792636,-0.00132892719105,0.000512206779158,0.000945271701053,NO-DATA
-36.255,-20.83499975,-1.605,-0.130244572,-0.0459686724,9.8372956,-0.398435292,173.292914,0.620719002,0.000368635117,0.0010298345058,3.7302e-08,NO-DATA
-35.808,-20.2199996,-1.60799998,-0.0893835293333,-0.0510763026667,9.844957,-0.400213636,173.33168,0.621284662,-0.00226773067,0.00197828326905,0.000430858074737,NO-DATA
-35.6399996,-20.3639998,-1.24799996,-0.114921681333,-0.0510763026667,9.819419,-0.412849585,173.386541667,0.620304243333,-0.0037852484165,0.0012130940956,0.000855248559,NO-DATA
-35.112,-20.772,-0.456,-0.1072602348,-0.0536301178,9.8372956,-0.410374954,173.493532,0.624013352,-0.0021969988365,-0.000863847634,0.000977421743,NO-DATA
-34.992,-20.3039996,0.167999996,-0.0919373444,-0.038307227,9.844957,-0.410182462,173.644404,0.636365138,0.000368635151053,0.000435044647579,-0.00271992045368,NO-DATA
-35.892,-20.0999996,-0.851999974,-0.11492168,-0.0574608405,9.8258035,-0.399995736667,173.793793333,0.640334568333,-0.0026246044965,0.0002967962106,-0.002076904444,NO-DATA
-36.6839994,-20.3759998,-1.71599998,-0.1053448735,-0.04788403375,9.83538025,-0.393326135,173.862501667,0.642013891667,-0.00324102305591,0.000391202809455,-0.000744107462727,NO-DATA
-36.3959992,-20.22,-1.848,-0.0919373448,-0.0459686724,9.8602804,-0.401066326,173.86895,0.64448166,-1.71744742105e-05,0.00191398164842,0.00120247777158,NO-DATA
-36.2999996,-20.0039998,-1.84799998,-0.1302445714,-0.0612915632,9.844957,-0.401472654,173.87389,0.644852268,-0.00233203225579,0.00139956877389,-0.00169109460947,NO-DATA
-36.612,-19.908,-2.29199992,-0.0842759002,-0.038307227,9.8372956,-0.397436596,173.866,0.64511666,0.0014926276,-0.0002041153666,0.002602327293,NO-DATA
