AccX,AccY,AccZ
-0.38307226 , 5.209783 , 8.887277
-0.22984336 , 5.0182467 , 8.810662
0.15322891 , 4.673482 , 8.772355
-0.038307227 , 4.55856 , 9.11712
0.076614454 , 4.405331 , 9.423578
-0.45968673 , 4.711789 , 9.193734
0.34476504 , 4.213795 , 8.619126
0.038307227 , 4.060566 , 8.580819
0.22984336 , 4.060566 , 8.734048
1.2641385 , 3.1794999 , 8.887277
-0.5363012 , 3.5625722 , 8.887277
-0.038307227 , 4.175488 , 9.80665
0.7278373 , 3.8307228 , 9.768343
1.1492168 , 2.834735 , 8.274361
1.532289 , 2.566584 , 8.389283
1.8387469 , 2.336741 , 9.078813
1.0342951 , 3.064578 , 9.040505
1.6089035 , 4.0222588 , 8.734048
1.9153614 , 4.0222588 , 8.465898
1.9153614 , 4.175488 , 8.389283
1.532289 , 4.2904096 , 8.6574335
1.7238252 , 3.4476504 , 8.619126
2.7581203 , 2.6431987 , 9.078813
3.1028855 , 2.2984335 , 9.615114
1.9919758 , 3.4476504 , 9.193734
1.685518 , 3.7924154 , 8.734048
1.9536686 , 3.1411927 , 8.810662
2.1068976 , 2.9879637 , 8.848969
2.2218192 , 3.6008794 , 8.312668
2.1068976 , 3.2561142 , 8.848969
1.9153614 , 3.2561142 , 9.270349
1.6472107 , 3.6774938 , 9.193734
1.6089035 , 3.4093432 , 8.734048
1.7238252 , 3.371036 , 8.695741
1.8770541 , 3.4093432 , 8.925584
1.685518 , 3.5625722 , 9.5385
2.030283 , 3.371036 , 9.576807
1.8387469 , 3.4093432 , 9.500193
1.8770541 , 3.5242648 , 9.155427
1.6089035 , 3.4859576 , 9.040505
1.8004397 , 3.4093432 , 8.350976
1.8770541 , 3.4093432 , 8.42759
2.183512 , 2.834735 , 8.274361
1.7238252 , 3.5625722 , 8.542512
1.5705963 , 3.6774938 , 9.232041
1.685518 , 3.4859576 , 9.155427
1.8387469 , 3.6008794 , 9.040505
2.183512 , 3.4093432 , 8.810662
2.2984335 , 3.9073372 , 8.389283
2.4133554 , 3.6774938 , 10.189722
1.3790601 , 3.371036 , 11.836933
0.7661445 , 2.1452048 , 8.465898
2.0685902 , 1.9153614 , 6.3589997
2.0685902 , 2.1452048 , 7.0485296
1.8004397 , 2.0685902 , 7.3166804
1.8770541 , 1.7238252 , 6.703765
1.9919758 , 1.9919758 , 7.3166804
0.7661445 , 2.030283 , 8.695741
0.076614454 , 2.4899697 , 8.810662
-0.45968673 , 2.2218192 , 8.465898
0.38307226 , 2.9879637 , 9.040505
0.34476504 , 3.715801 , 11.109096
-0.2681506 , 3.86903 , 12.105083
-1.340753 , 3.2561142 , 10.994174
-1.1109096 , 3.064578 , 10.342952
-0.34476504 , 2.9113493 , 9.998186
0.5363012 , 2.9113493 , 10.457873
0.7278373 , 2.2601264 , 10.419566
0.11492168 , 1.8770541 , 9.80665
-0.6512229 , 0.6895301 , 7.8912888
-0.076614454 , 0.30645782 , 7.699753
0.38307226 , 0.49799395 , 8.197746
0.5746084 , 1.1492168 , 10.611102
0.30645782 , 1.1492168 , 11.722012
-0.4213795 , 1.0342951 , 11.722012
-1.3790601 , 1.1875241 , 10.802638
-2.0685902 , 1.8004397 , 11.109096
-1.340753 , 2.2984335 , 12.29662
-0.91937345 , 2.6431987 , 12.756307
-0.2681506 , 2.6048915 , 12.411542
-0.30645782 , 2.0685902 , 11.109096
-0.61291564 , 2.0685902 , 10.496181
-0.2681506 , 1.9536686 , 9.921572
2.1068976 , 2.0685902 , 10.91756
-0.11492168 , 1.3024458 , 9.691729
-2.4516625 , 0.842759 , 10.649409
-1.685518 , 1.685518 , 10.91756
-1.8387469 , 1.4939818 , 10.342952
-1.3790601 , 1.685518 , 10.189722
0.4213795 , 2.336741 , 10.189722
2.719813 , 3.0262709 , 10.151415
-0.4213795 , 2.6431987 , 9.80665
-0.5746084 , 2.7581203 , 10.189722
-0.6895301 , 2.681506 , 9.691729
0.0 , 2.2218192 , 8.963891
0.0 , 2.4133554 , 9.232041
-0.4213795 , 2.566584 , 8.810662
-0.38307226 , 1.3024458 , 7.967903
-0.22984336 , 2.183512 , 9.002198
0.22984336 , 2.7581203 , 10.457873
-0.34476504 , 3.7541082 , 9.921572
0.5746084 , 3.6391866 , 8.887277
0.6895301 , 3.9839516 , 8.887277
0.61291564 , 4.7500963 , 8.00621
1.1109096 , 5.439626 , 7.0485296
2.3750482 , 4.865018 , 9.308656
1.6472107 , 3.4476504 , 10.457873
-0.076614454 , 2.6048915 , 8.121132
-1.1109096 , 2.4899697 , 6.6271505
-1.0726024 , 2.336741 , 7.0102224
-0.7278373 , 2.7581203 , 7.73806
-0.8810662 , 3.1028855 , 8.236053
-1.9153614 , 3.217807 , 9.500193
-2.030283 , 3.5625722 , 8.887277
-1.9153614 , 3.86903 , 8.887277
-1.685518 , 4.673482 , 9.040505
-1.9919758 , 4.7500963 , 8.350976
-1.8770541 , 4.55856 , 8.619126
-1.7238252 , 4.367024 , 8.695741
-1.1492168 , 4.367024 , 8.619126
-2.2218192 , 4.2904096 , 9.346964
-3.1028855 , 4.405331 , 8.312668
-3.217807 , 4.2521024 , 7.929596
-2.566584 , 4.55856 , 8.619126
-1.2258313 , 4.405331 , 7.699753
-1.3024458 , 4.2904096 , 7.699753
-1.8387469 , 3.5625722 , 9.921572
-1.340753 , 3.2944214 , 9.232041
-1.0342951 , 4.0222588 , 7.929596
-0.9576807 , 4.3287168 , 7.967903
-1.2258313 , 4.4436383 , 8.848969
-1.8387469 , 4.060566 , 9.768343
-1.3790601 , 2.873042 , 10.036493
-1.0342951 , 3.0262709 , 9.883265
-1.0726024 , 3.6008794 , 9.193734
-1.532289 , 3.9839516 , 8.695741
-1.9536686 , 4.367024 , 9.11712
-1.8770541 , 4.55856 , 8.619126
-1.3024458 , 4.175488 , 8.0445175
-0.842759 , 3.715801 , 8.42759
-1.2641385 , 4.060566 , 9.232041
-2.1452048 , 4.9799395 , 9.385271
-1.6089035 , 5.3247046 , 8.619126
-0.8810662 , 3.8307228 , 8.0445175
-1.0726024 , 3.7541082 , 8.772355
-1.0342951 , 4.213795 , 8.6574335
-1.5705963 , 4.865018 , 8.42759
-1.1875241 , 4.9799395 , 8.389283
-0.8810662 , 4.4819455 , 8.465898
-1.0342951 , 4.4436383 , 8.695741
-0.9576807 , 4.4436383 , 8.810662
-0.38307226 , 4.0222588 , 8.963891
-0.61291564 , 4.213795 , 9.11712
-0.9576807 , 4.9416323 , 8.312668
-1.4173675 , 5.056554 , 9.040505
-1.2258313 , 5.363012 , 8.42759
-0.8810662 , 4.7884035 , 8.6574335
0.15322891 , 3.3327289 , 9.193734
-0.22984336 , 4.0222588 , 9.155427
-0.2681506 , 5.209783 , 8.810662
-0.5363012 , 5.707777 , 8.236053
-0.9576807 , 6.3206925 , 7.8529816
-0.5363012 , 5.0182467 , 7.6614456
-0.5746084 , 4.6351743 , 8.159439
-0.6512229 , 4.673482 , 8.810662
-0.30645782 , 4.7500963 , 9.040505
0.4213795 , 4.405331 , 7.967903
0.45968673 , 4.175488 , 8.082825
0.4213795 , 3.8307228 , 8.465898
-0.11492168 , 5.094861 , 9.193734
-0.038307227 , 4.865018 , 9.002198
0.4213795 , 4.5202527 , 8.542512
0.30645782 , 4.4819455 , 8.274361
-0.038307227 , 4.55856 , 9.040505
-0.15322891 , 4.8267107 , 9.232041
0.22984336 , 4.55856 , 8.42759
0.076614454 , 4.673482 , 8.42759
-0.076614454 , 4.865018 , 8.619126
-0.22984336 , 4.903325 , 8.963891
-0.5746084 , 4.9799395 , 8.121132
-0.80445176 , 6.167464 , 7.431602
-0.6512229 , 5.2863975 , 8.312668
-0.30645782 , 4.098873 , 9.002198
-0.7278373 , 4.5202527 , 8.772355
-0.9959879 , 5.0182467 , 8.197746
0.0 , 5.056554 , 8.121132
-0.38307226 , 5.133168 , 8.082825
-0.19153613 , 5.2480903 , 8.121132
0.34476504 , 4.213795 , 9.730036
0.38307226 , 4.0222588 , 10.228029
0.11492168 , 4.1371803 , 9.423578
0.038307227 , 4.4819455 , 8.887277
0.038307227 , 4.673482 , 7.776367
-0.19153613 , 4.711789 , 7.5082164
-0.61291564 , 4.060566 , 8.121132
-0.5363012 , 4.175488 , 9.11712
-0.2681506 , 4.5202527 , 9.5385
0.038307227 , 4.2521024 , 8.848969
0.38307226 , 3.86903 , 8.6574335
0.6895301 , 3.371036 , 8.504205
-0.076614454 , 3.8307228 , 9.500193
0.22984336 , 4.175488 , 9.423578
0.6895301 , 4.2521024 , 8.695741
0.076614454 , 3.7924154 , 9.959879
0.076614454 , 3.5242648 , 10.113108
0.15322891 , 3.1028855 , 9.576807
0.038307227 , 3.4859576 , 9.5385
-0.11492168 , 4.175488 , 9.193734
0.038307227 , 3.9073372 , 8.887277
-0.2681506 , 3.8307228 , 8.772355
-0.7278373 , 3.6774938 , 8.963891
0.0 , 3.6008794 , 8.887277
0.2681506 , 3.6774938 , 8.542512
-0.076614454 , 3.6391866 , 8.695741
-0.15322891 , 3.5625722 , 9.768343
0.11492168 , 3.4476504 , 9.423578
0.4213795 , 3.7541082 , 8.695741
0.49799395 , 3.6008794 , 8.848969
-0.22984336 , 3.4093432 , 10.0748005
0.15322891 , 3.2561142 , 9.730036
0.4213795 , 3.1411927 , 8.887277
0.15322891 , 3.6391866 , 8.734048
0.076614454 , 3.4093432 , 9.155427
0.19153613 , 3.1411927 , 9.653421
0.22984336 , 3.2561142 , 9.768343
0.15322891 , 3.5242648 , 9.040505
0.15322891 , 3.7924154 , 8.925584
0.2681506 , 3.6391866 , 8.887277
0.2681506 , 3.5625722 , 8.772355
0.076614454 , 3.5242648 , 9.461885
0.22984336 , 3.4859576 , 9.308656
0.2681506 , 3.7541082 , 9.078813
0.15322891 , 3.6008794 , 9.193734
0.11492168 , 3.6008794 , 9.11712
0.038307227 , 3.6008794 , 9.346964
0.11492168 , 3.5242648 , 9.5385
0.2681506 , 3.2944214 , 9.11712
0.11492168 , 3.7924154 , 8.925584
0.076614454 , 3.9073372 , 9.078813
-0.038307227 , 3.6774938 , 9.11712
-0.038307227 , 3.6008794 , 9.155427
0.038307227 , 3.7541082 , 9.078813
0.15322891 , 3.715801 , 9.193734
0.038307227 , 3.6008794 , 9.193734
0.11492168 , 3.4093432 , 9.232041
0.0 , 3.2944214 , 9.423578
0.5363012 , 3.6774938 , 9.040505
0.4213795 , 3.4859576 , 8.848969
0.22984336 , 3.4476504 , 9.002198
0.0 , 3.371036 , 9.500193
0.11492168 , 3.9456444 , 9.5385
0.038307227 , 3.9839516 , 9.040505
-0.076614454 , 3.6391866 , 9.002198
-0.076614454 , 3.6008794 , 9.155427
0.076614454 , 3.4859576 , 8.848969
-0.22984336 , 3.4093432 , 9.11712
0.0 , 3.7924154 , 9.423578
0.15322891 , 3.86903 , 9.155427
0.038307227 , 3.4093432 , 9.193734
0.22984336 , 3.5242648 , 9.346964
0.11492168 , 3.3327289 , 9.155427
0.30645782 , 3.6774938 , 9.078813
0.15322891 , 3.8307228 , 8.848969
-0.15322891 , 3.715801 , 9.461885
0.038307227 , 3.6774938 , 9.423578
0.22984336 , 3.715801 , 8.963891
0.076614454 , 3.4476504 , 8.6574335
-0.038307227 , 3.6391866 , 9.423578
-0.038307227 , 3.4859576 , 9.500193
0.11492168 , 3.2561142 , 9.346964
0.5746084 , 3.064578 , 8.848969
-0.45968673 , 3.1028855 , 8.6574335
-1.0726024 , 2.834735 , 9.270349
-0.6895301 , 3.4859576 , 10.228029
0.49799395 , 4.405331 , 8.887277
0.5746084 , 3.4476504 , 8.580819
0.15322891 , 2.4516625 , 8.963891
-0.15322891 , 2.6048915 , 9.500193
-0.61291564 , 3.5625722 , 9.002198
-0.5746084 , 3.4476504 , 8.312668
-0.61291564 , 3.6391866 , 7.699753
0.45968673 , 3.6008794 , 6.8186865
-4.1371803 , 2.9879637 , 8.810662
-4.098873 , 3.064578 , 8.772355
-1.7621324 , 2.7964275 , 8.848969
-0.30645782 , 1.5705963 , 6.3206925
-2.336741 , 1.1492168 , 8.695741
-6.8569937 , 0.11492168 , 11.224017
-8.810662 , -1.0726024 , 11.990162
-2.9879637 , 3.715801 , 5.2863975
-4.9799395 , 3.4093432 , 6.8186865
-6.397307 , 3.7924154 , 7.431602
-7.3549876 , 3.1794999 , 8.695741
-6.167464 , 2.336741 , 7.73806
-4.711789 , 2.4899697 , 7.3549876
-4.098873 , 4.865018 , 6.588843
-3.064578 , 4.7884035 , 5.094861
-5.707777 , -0.22984336 , 7.8146744
-6.9719152 , 0.38307226 , 8.734048
-6.4739213 , 0.8810662 , 7.929596
-6.0525417 , 0.2681506 , 5.707777
-4.9416323 , 0.842759 , 4.7500963
-5.8226986 , 0.7661445 , 5.401319
-8.542512 , 0.8810662 , 6.205771
-11.33894 , -0.842759 , 7.393295
-10.189722 , -0.22984336 , 6.6271505
-7.469909 , 0.45968673 , 5.93762
-6.5505357 , 0.34476504 , 6.090849
-10.802638 , 0.8810662 , 8.465898
-11.87524 , -0.038307227 , 8.848969
-11.18571 , -0.45968673 , 8.6574335
-9.002198 , -0.076614454 , 8.810662
-6.703765 , 0.842759 , 8.236053
-7.0485296 , 0.15322891 , 7.776367
-7.469909 , 0.6895301 , 7.3166804
-4.213795 , 1.1875241 , 11.530476
-5.899313 , 0.842759 , 8.42759
-9.844957 , -1.9153614 , 5.93762
-9.385271 , -2.2218192 , 4.060566
-7.469909 , -0.9576807 , 4.4436383
-7.201759 , -0.38307226 , 1.1492168
-2.566584 , 3.371036 , 9.346964
-4.175488 , 5.401319 , 6.2823853
-3.7541082 , 4.596867 , 5.66947
-2.9113493 , 4.5202527 , 9.730036
-7.1634517 , 2.9496565 , 10.840945
-12.832921 , 0.4213795 , 6.703765
-12.373235 , -3.4859576 , 3.064578
-9.576807 , -3.3327289 , -1.8004397
-9.002198 , -1.1109096 , -2.1068976
-7.431602 , 0.22984336 , 0.6512229
-12.449849 , -8.082825 , 7.3166804
-7.8146744 , 0.30645782 , 4.55856
-6.5122285 , -2.4133554 , 7.086837
-7.240066 , 0.49799395 , 5.094861
-7.776367 , -4.367024 , 3.1411927
-8.197746 , -5.861006 , 4.6351743
-11.070788 , -4.865018 , 8.274361
-10.0748005 , -5.171476 , 7.776367
-8.274361 , -5.2863975 , 6.0142345
-7.5465236 , -3.217807 , 7.086837
-8.00621 , -1.8770541 , 5.439626
-10.189722 , 0.80445176 , 6.0142345
-6.742072 , -3.9456444 , 4.9416323
-4.213795 , -5.439626 , 5.707777
-3.5625722 , -4.175488 , 5.056554
-6.7803793 , -3.6008794 , 4.711789
-7.929596 , -3.9456444 , 5.554548
-8.197746 , -2.336741 , 5.5162406
-6.6654577 , 10.764331 , 0.91937345
-11.683704 , -4.9416323 , 10.0748005
-8.00621 , -2.2218192 , 6.3206925
-5.861006 , 1.7621324 , 4.8267107
-5.592855 , 3.86903 , 3.9073372
-8.695741 , -3.1794999 , 5.899313
-8.542512 , -2.9496565 , 5.401319
-7.5082164 , -1.1875241 , 4.9416323
-7.8529816 , -2.183512 , 5.401319
-9.308656 , -4.673482 , 4.4436383
-8.504205 , -4.367024 , 3.5242648
-9.308656 , 0.9959879 , 6.2823853
-7.967903 , -10.611102 , 6.933608
-8.236053 , -7.6231384 , 8.695741
-2.7964275 , -8.963891 , 7.2783732
-5.3247046 , -6.0142345 , 5.592855
-2.183512 , -4.213795 , 6.397307
0.15322891 , -3.064578 , 3.86903
-0.7661445 , -8.619126 , 6.0525417
-0.34476504 , -9.653421 , 7.240066
-0.19153613 , -9.346964 , 8.236053
0.91937345 , -9.346964 , 6.895301
3.5625722 , -12.411542 , 7.3549876
-3.7541082 , -5.5162406 , 9.5385
-1.7621324 , -2.6048915 , 8.159439
-3.1028855 , -3.5242648 , 7.967903
-3.0262709 , -2.1068976 , 8.159439
-2.873042 , -1.1109096 , 8.0445175
-2.4899697 , -0.8810662 , 7.699753
-2.2218192 , -3.1028855 , 8.465898
-2.566584 , -2.7581203 , 8.695741
-2.528277 , -1.6472107 , 8.619126
-2.183512 , -1.1492168 , 8.542512
-2.183512 , -1.6089035 , 8.236053
-2.0685902 , -1.9153614 , 8.542512
-2.0685902 , -2.1452048 , 9.11712
-2.0685902 , -2.0685902 , 8.312668
-2.183512 , -2.183512 , 8.465898
-2.1068976 , -2.1452048 , 8.695741
-2.336741 , -2.030283 , 8.312668
-2.4516625 , -1.9536686 , 7.929596
-2.528277 , -2.3750482 , 8.42759
-0.842759 , -10.994174 , 12.756307
-0.8810662 , -10.840945 , 13.139379
-4.3287168 , -4.4819455 , 9.730036
-5.401319 , 1.4556746 , 5.363012
-3.1794999 , -3.2561142 , 9.040505
-2.681506 , -3.2561142 , 9.002198
-2.4899697 , -3.0262709 , 8.848969
-2.4899697 , -2.7581203 , 8.887277
-2.6431987 , -3.1411927 , 8.925584
-2.6048915 , -3.2561142 , 9.040505
-2.6048915 , -3.2561142 , 9.155427
-2.2218192 , -3.0262709 , 9.193734
-2.1068976 , -3.0262709 , 9.040505
-2.1452048 , -3.064578 , 8.887277
-2.2984335 , -3.217807 , 8.772355
-2.3750482 , -2.873042 , 8.810662
-2.2601264 , -2.834735 , 9.155427
-2.2218192 , -3.064578 , 9.423578
-2.336741 , -3.217807 , 9.270349
-2.4899697 , -3.064578 , 9.040505
-2.528277 , -3.064578 , 9.155427
-2.681506 , -3.064578 , 9.346964
-2.6431987 , -3.1411927 , 9.232041
-2.6048915 , -3.1028855 , 9.385271
-2.681506 , -3.064578 , 9.270349
-2.7964275 , -3.1411927 , 9.155427
-2.6431987 , -3.217807 , 9.385271
-2.4516625 , -3.2944214 , 9.423578
-1.8770541 , -3.1028855 , 9.11712
-1.8004397 , -2.719813 , 9.002198
-1.8004397 , -2.4133554 , 9.11712
-2.2218192 , -2.336741 , 9.193734
-2.4133554 , -2.528277 , 9.11712
-2.4899697 , -2.719813 , 9.11712
