MagZ,MagY,MagX,Light,OrientZ,OrientX,OrientY,AccY,AccX,AccZ,GyroZ,GyroX,GyroY
NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.6,-14.46,16.92,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.78,-15.12,15.24,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.18,-15.54,14.5199995,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.3,-15.54,15.299999,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.36,-16.08,14.34,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.6,-16.14,14.099999,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.66,-17.1,13.08,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
20.88,46.14,-6.3599997,10.0,-5.5653143,115.10217,138.207,-14.709975,-2.566584,-2.566584,0.2574797,-1.524719625,3.762624425,
22.38,45.42,-6.12,10.0,-2.2976375,118.09798,139.96552,-14.709975,-2.566584,-2.566584,-0.179899811,-0.9214902025,2.64382475,
23.82,44.52,-6.2999997,10.0,-0.54605454,119.01889,140.99725,-14.709975,-2.566584,-2.566584,-0.555887366667,-0.790459623333,0.16982054,
25.14,43.68,-6.54,10.0,-0.97065556,117.573616,142.03642,-14.709975,-2.566584,-2.566584,-0.7987063175,-0.9498954675,-1.5784758,
26.34,42.719997,-6.66,10.0,-1.7330765,116.035355,143.02296,-14.709975,-2.566584,-2.566584,-0.8139779525,-1.3173309,-0.989296245,
27.3,42.12,-7.08,10.0,-1.2570572,115.32436,144.71451,-14.709975,-2.566584,-2.566584,-0.31948252225,-1.322523225,1.83595544,
27.84,41.52,-7.68,10.0,1.2303755,116.98376,146.0867,-14.709975,-2.566584,-2.566584,0.3173444875,-0.798095425,2.20736155,
28.74,40.739998,-8.34,10.0,2.3873382,118.29464,146.92665,-14.709975,-2.566584,-2.566584,0.22999076425,-0.823140915,0.27977627275,
29.34,40.14,-9.0,10.0,2.4294245,118.36659,147.99203,-14.709975,-2.566584,-2.566584,-0.3543018325,-0.610254385,0.18875735975,
29.34,40.14,-9.0,10.0,2.908573,118.14607,148.37297,-14.709975,-2.566584,-2.566584,-0.621860833333,0.0504981946667,0.922813756667,
29.34,40.14,-9.0,10.0,2.908573,118.14607,148.37297,-14.709975,-2.566584,-2.566584,-0.621860833333,0.0504981946667,0.922813756667,
30.359999,38.879997,-10.08,10.0,4.400751,118.301674,148.2861,-14.709975,-2.566584,-2.566584,-0.262977496,-0.04948008575,1.325883,
30.539999,38.64,-10.679999,10.0,5.583891,118.87926,148.44405,-14.709975,-2.566584,-2.566584,-0.031154126875,-0.09896017,0.42974370475,
30.599998,38.46,-11.34,10.0,5.6842937,118.82813,148.31276,-14.709975,-2.566584,-2.566584,-0.1624901575,0.6230825525,-0.32375858,
30.42,38.579998,-12.059999,10.0,5.415915,118.46066,147.27205,-14.709975,-2.566584,-2.566584,-0.04031710675,1.35825885,-0.175318326,
30.06,38.7,-12.48,10.0,5.3050475,118.388016,145.87161,-14.709975,-2.566584,-2.566584,0.11056660575,2.29288265,-0.4764748975,
29.58,38.879997,-12.719999,10.0,4.6481237,118.110405,143.01208,-14.709975,-2.566584,-2.566584,0.223271245,3.20185015,-1.3191635125,
29.58,38.879997,-12.719999,10.0,3.1230998,117.19581,139.05742,-14.709975,-2.566584,-2.566584,-0.0403171066667,4.12863453333,-2.23780306667,
29.58,38.879997,-12.719999,10.0,3.1230998,117.19581,139.05742,-15.20797,2.9113493,-4.4436383,-0.0403171066667,4.12863453333,-2.23780306667,
27.3,40.739998,-12.78,10.0,1.2389818,115.19796,134.06758,-15.20797,2.9113493,-4.4436383,-0.169006046667,4.1021637,-1.54182386667,
25.5,41.94,-12.78,10.0,0.5261881,114.249306,129.29538,-15.20797,2.9113493,-4.4436383,-0.05009095175,3.68199025,0.48533243,
23.46,43.14,-12.599999,10.0,1.1211412,114.888916,126.08932,-15.20797,2.9113493,-4.4436383,-0.177456354,2.98438215,1.3494013,
21.06,44.399998,-12.54,10.0,2.1825495,116.14667,122.56331,-15.20797,2.9113493,-4.4436383,0.21044308,2.72415355,1.85611405,
21.06,44.399998,-12.54,10.0,3.1165743,118.316536,119.1628,-15.20797,2.9113493,-4.4436383,0.2968805025,2.8646525,2.380236475,
21.06,44.399998,-12.54,10.0,4.140065,121.010185,115.5322,-11.530476,1.7621324,-4.4436383,0.182445086667,2.93581836667,1.80979013333,
21.06,44.399998,-12.54,10.0,4.140065,121.010185,115.5322,-10.6877165,-0.8810662,-9.11712,0.472809685,2.56563405,-0.299323975,
12.059999,48.0,-13.139999,10.0,4.140065,121.010185,115.5322,-10.6877165,-0.8810662,-9.11712,0.822224615,2.2253821,-2.10626335,
12.059999,48.0,-13.139999,10.0,2.9967115,120.81218,110.12994,-10.6877165,-0.8810662,-9.11712,1.0503828,2.34816605,-2.78829435,
12.059999,48.0,-13.139999,10.0,2.9967115,120.81218,110.12994,-6.244078,-3.064578,0.2681506,1.0503828,2.34816605,-2.78829435,
5.8799996,49.559998,-14.04,10.0,0.7287291,118.10802,107.33766,-6.244078,-3.064578,0.2681506,0.997746566667,2.42880016667,-1.66277523333,
5.8799996,49.559998,-14.04,10.0,-1.0124097,116.421104,104.43521,-6.244078,-3.064578,0.2681506,0.999070075,2.06167025,-1.99691855,
5.8799996,49.559998,-14.04,10.0,-2.7784777,114.18712,101.93048,-4.596867,0.038307227,-2.030283,1.0708468,1.725694275,-2.5897632,
5.8799996,49.559998,-14.04,10.0,-4.644001,111.380905,99.7567,-1.7621324,1.4556746,-1.1492168,1.1207341,1.2201015,-2.313143,
5.8799996,49.559998,-14.04,10.0,-5.975755,109.481026,98.56716,-1.4173675,2.2601264,-1.8770541,1.0952814,0.6310237975,-2.32312045,
5.8799996,49.559998,-14.04,10.0,-7.6737113,106.81643,97.60192,-1.8004397,2.2218192,-1.2641385,1.058018575,-0.0736092675,-2.579989375,
5.8799996,49.559998,-14.04,10.0,-9.35688,103.86552,97.39004,-2.030283,1.8770541,-0.038307227,1.2247848,-0.9544769325,-2.18384325,
5.8799996,49.559998,-14.04,10.0,-11.198574,101.539986,98.29754,-2.1068976,0.7661445,3.2944214,1.474017825,-1.99416955,-1.08978361,
5.8799996,49.559998,-14.04,10.0,-13.7718665,101.100578,102.04409,-3.7541082,1.2641385,5.4779334,1.5082263,-2.7452284,0.51465397,
5.8799996,49.559998,-14.04,10.0,-13.7718665,101.100578,102.04409,-9.078813,1.8387469,10.0748005,1.18670753333,-2.6149105,2.0810142,
5.8799996,49.559998,-14.04,10.0,-15.095083,104.29867,107.22373,-19.804836,1.2258313,13.330915,0.37262779,-1.15514615,2.302961925,
5.8799996,49.559998,-14.04,10.0,-14.607136,106.843445,108.96893,-17.621325,-2.719813,11.070788,-0.0302378285,0.73334374,-0.64843346,
5.8799996,49.559998,-14.04,10.0,-15.04921,105.63254,107.64774,-11.032481,-1.2641385,9.5385,0.5635232,0.9538661025,-2.328923775,
5.8799996,49.559998,-14.04,10.0,-17.0063635,102.24998,105.33124,-8.082825,0.49799395,7.201759,0.53511795,0.664315945,-1.93919175,
5.8799996,49.559998,-14.04,10.0,-18.286308,98.87286,103.370316,-10.879252,1.532289,5.66947,0.10781771225,0.52839845,-2.134363175,
5.8799996,49.559998,-14.04,10.0,-18.857176,97.08694,102.19868,-13.101071,-0.61291564,7.6614456,0.19058995675,0.5360342575,-1.267850825,
5.8799996,49.559998,-14.04,10.0,-18.857176,97.08694,102.19868,-18.195932,2.873042,4.9416323,0.155974261333,0.441859203333,0.65932721,
5.8799996,49.559998,-14.04,10.0,-18.883816,97.78252,101.86915,-17.506403,4.6351743,-0.30645782,-0.2452623975,0.711047145,0.68508537,
5.8799996,49.559998,-14.04,10.0,-18.663248,98.692802,101.33528,-3.064578,4.9416323,-5.133168,0.408974285,-0.0928515225,0.3252857475,
5.8799996,49.559998,-14.04,10.0,-19.172304,99.681725,103.67661,-2.873042,4.2521024,-0.7278373,0.3781255825,-1.776396125,0.669508315,
5.8799996,49.559998,-14.04,10.0,-18.354883,102.326324,107.23229,-6.0142345,1.1109096,-2.336741,-0.18295414,-2.2467624,2.45079135,
5.8799996,49.559998,-14.04,10.0,-15.991314,106.34094,110.91059,-10.534488,0.6895301,-2.1068976,-0.88880895,-1.990809875,3.761097375,
5.8799996,49.559998,-14.04,10.0,-15.991314,106.34094,110.91059,-11.722012,0.038307227,-1.8387469,-1.29421983333,-1.71571683333,3.8456003,
5.8799996,49.559998,-14.04,10.0,-11.7385705,110.937035,114.9378055,-12.028469,-1.3024458,-2.566584,-1.398270575,-1.789529775,2.67070285,
5.8799996,49.559998,-14.04,10.0,-8.88036,112.53148,118.47422,-12.871228,-1.8770541,-2.336741,-0.937983575,-2.0277672,1.042747,
5.8799996,49.559998,-14.04,10.0,-8.676187,112.68151,121.26791,-9.921572,0.038307227,0.4213795,0.009773844,-2.328007475,0.130419735,
5.8799996,49.559998,-14.04,10.0,-8.868121,113.00998,124.477356,-9.11712,0.80445176,1.2258313,0.2907718575,-2.631302,0.1908953875,
5.8799996,49.559998,-14.04,10.0,-7.425362,117.845665,121.345314,-8.350976,0.038307227,0.5746084,0.313679295,-2.559219925,0.3707952075,
5.8799996,49.559998,-14.04,10.0,-7.4849524,118.136246,123.32188,-9.11712,-0.9576807,0.30645782,0.215024566667,-2.0402899,0.231314303333,
5.8799996,49.559998,-14.04,10.0,-7.4827824,118.60485,125.35376,-9.461885,-0.5363012,0.9959879,0.223882115,-1.578170375,0.3509420825,
5.8799996,49.559998,-14.04,10.0,-7.318054,119.672195,127.497345,-8.619126,0.49799395,2.2218192,0.4370740775,-1.688736975,0.9169087,
5.8799996,49.559998,-14.04,10.0,-6.185141,121.84573,129.90573,-7.3166804,1.1109096,2.030283,0.35979963,-1.74402025,2.12275675,
5.8799996,49.559998,-14.04,10.0,-4.3739204,124.0543,131.68674,-6.397307,1.2258313,-0.6895301,0.0042760575,-1.213789225,2.339002975,
5.8799996,49.559998,-14.04,10.0,-3.0352478,125.16758,132.55568,-8.350976,0.5363012,-3.1411927,-0.35827247,-0.842994035,1.729970375,
5.8799996,49.559998,-14.04,10.0,-1.6381265,125.74264,133.71236,-9.270349,0.38307226,-2.873042,-0.6001751025,-1.0399981,0.70707652,
5.8799996,49.559998,-14.04,10.0,-1.0528799,125.15762,135.23274,-10.304645,-0.34476504,-1.8770541,-0.715934066667,-1.34308906667,-0.221540467667,
5.8799996,49.559998,-14.04,10.0,-0.6581613,124.37476,137.13356,-11.18571,-1.7621324,0.61291564,-0.6789767375,-1.607797325,-0.1368338175,
5.8799996,49.559998,-14.04,10.0,0.3433676,124.64988,139.0832,-9.959879,-1.9153614,1.6472107,-0.320704246,-1.563815025,0.8943067,
5.8799996,49.559998,-14.04,10.0,0.9207525,125.18263,140.06339,-10.764331,0.45968673,0.34476504,0.06017022675,-0.9217956375,0.705854805,
5.8799996,49.559998,-14.04,10.0,1.4641643,125.55729,140.8761,-10.228029,1.1492168,0.45968673,-0.19608774075,-0.55283306,0.6853908,
5.8799996,49.559998,-14.04,10.0,2.712818,125.886795,141.24715,-12.564771,-1.3024458,-1.6089035,-0.511497836667,-0.19629136,1.0848967,
5.8799996,49.559998,-14.04,10.0,4.2902513,126.48595,141.34195,-13.369223,-1.4173675,-1.8770541,-0.3918700625,-0.1105666125,1.3799446,
5.8799996,49.559998,-14.04,10.0,5.6064644,127.546974,141.62811,-13.177686,-1.0726024,-1.2641385,0.0488692175,-0.31612276,1.37414135,
5.8799996,49.559998,-14.04,10.0,6.165164,128.19763,141.74602,-13.330915,-0.45968673,-0.30645782,0.1853976025,-0.08307767125,0.7244861875,
5.8799996,49.559998,-14.04,10.0,6.3765683,128.63017,141.49278,-13.101071,-1.8004397,1.4939818,0.1493565525,0.3509420825,0.2993239675,
5.8799996,49.559998,-14.04,10.0,6.4379625,128.92447,140.54523,-14.326903,-0.9576807,1.4556746,0.1820378375,1.069319625,0.06017023125,
5.8799996,49.559998,-14.04,10.0,5.969291,128.8668,138.72118,-13.713987,0.38307226,1.6089035,0.20158553,1.807855725,-0.59192842,
5.8799996,49.559998,-14.04,10.0,4.918802,127.992424,135.86879,-11.798626,1.4173675,2.7581203,-0.037466402,2.77007033333,-1.3386094,
5.8799996,49.559998,-14.04,10.0,4.2016587,126.74801,132.51985,-10.0748005,2.9879637,0.5363012,-0.515570285,4.1459425,-1.421788875,
5.8799996,49.559998,-14.04,10.0,4.1685176,125.56328,127.117195,-14.365211,3.064578,-3.1794999,-0.52626042,4.543310325,-0.140193585,
5.8799996,49.559998,-14.04,10.0,4.907681,126.37145,122.07482,-17.468096,4.2521024,-4.9799395,0.09407324625,3.861890025,1.444696325,
5.8799996,49.559998,-14.04,10.0,5.823441,128.44708,117.64871,-17.889475,7.6231384,-3.6774938,0.120951319,3.29347995,1.717142225,
5.8799996,49.559998,-14.04,10.0,6.447394,129.81203,114.06623,-13.330915,3.4859576,3.8307228,0.021685716875,2.704911225,1.254411825,
5.8799996,49.559998,-14.04,10.0,6.930489,131.22989,111.467125,-12.909535,3.6774938,2.9879637,0.182445083333,2.78676723333,2.03173783333,
14.759999,48.239998,-15.66,10.0,7.659259,133.83372,107.55588,-12.909535,3.6774938,2.9879637,0.0690277725,3.15878425,1.9477439,
14.759999,48.239998,-15.66,10.0,7.951861,134.30669,103.652504,-11.33894,-2.719813,-1.532289,-0.1832595725,2.950784575,-0.57268619,
7.08,49.68,-15.96,10.0,7.701142,132.6737,100.925865,-11.33894,-2.719813,-1.532289,0.08643743175,2.30540545,-1.240667325,
3.48,50.28,-16.56,10.0,7.017072,131.86023,98.37091,-11.33894,-2.719813,-1.532289,0.6068946275,2.195755075,-0.60750548,
0.42,50.579998,-17.039999,10.0,6.2455196,131.14902,96.5248,-11.33894,-2.719813,-1.532289,0.84574293,2.098016725,-1.680184865,
-2.04,51.3,-18.24,10.0,4.9151754,128.47014,94.27513,-11.33894,-2.719813,-1.532289,0.905709523333,2.05617243333,-2.86862323333,
-4.02,52.379997,-19.14,10.0,3.7157152,124.83159,92.27162,-11.33894,-2.719813,-1.532289,0.74892079,1.72997035,-3.058602275,
-5.8199997,53.1,-19.439999,10.0,2.8716984,121.36778,90.804535,-11.33894,-2.719813,-1.532289,0.542753785,1.1707232,-2.722931825,
-6.96,53.82,-19.8,10.0,2.3077116,118.40458,90.04048,-11.33894,-2.719813,-1.532289,0.4251622175,0.4948008675,-2.29654785,
-7.5,54.18,-19.859999,10.0,1.899207,116.512115,89.98849,-11.33894,-2.719813,-1.532289,0.5528330425,-0.197309474,-1.783421075,
-7.56,54.48,-19.5,10.0,1.1046757,114.65453,90.61698,-11.33894,-2.719813,-1.532289,0.83352564,-0.9602801825,-1.0806206,
-7.2,54.899998,-18.779999,10.0,-0.06656021,113.74792,92.202835,-11.33894,-2.719813,-1.532289,1.12114133333,-1.75196153333,-0.309097808667,
-6.66,55.62,-18.0,10.0,-1.600653,114.06061,94.858955,-11.33894,-2.719813,-1.532289,1.3897184,-2.4416284,0.602618565,
-5.46,56.039997,-16.14,10.0,-3.0880609,115.91618,97.95649,-11.33894,-2.719813,-1.532289,1.294423475,-2.250733025,1.8909334,
-3.84,56.28,-14.4,10.0,-3.649433,118.21021,99.58265,-11.33894,-2.719813,-1.532289,0.4810563795,-0.72570790425,2.117258925,
-1.62,56.94,-12.96,10.0,-3.4438004,119.61452,99.756546,-11.33894,-2.719813,-1.532289,-0.353385545,0.57360247,-0.791681345,
-1.62,56.94,-12.96,10.0,-3.461728,117.72809,99.02691,-11.760319,0.2681506,7.5848308,0.02596177175,0.3622430875,-1.737300775,
1.56,58.14,-10.38,10.0,-3.8318393,115.89035,98.33072,-11.760319,0.2681506,7.5848308,0.0369573454,0.76785761,-1.508531725,
2.52,58.739998,-9.719999,10.0,-4.1108465,113.88227,97.32406,-11.760319,0.2681506,7.5848308,-0.057421334,0.5009095,-1.77028746667,
3.1799998,59.399998,-9.0,10.0,-4.2211175,112.37796,97.00127,-11.760319,0.2681506,7.5848308,-0.03604105,-0.14355333075,-1.394605325,
4.02,59.64,-8.639999,10.0,-4.505256,110.89234,97.38366,-11.760319,0.2681506,7.5848308,0.3937026525,-0.44959682,-1.18110795,
4.08,59.879997,-8.5199995,10.0,-5.3939266,109.57846,97.5592,-11.760319,0.2681506,7.5848308,0.7205155825,0.0965167075,-0.682641935,
3.6599998,59.94,-8.34,10.0,-6.1165676,109.423355,97.37451,-11.760319,0.2681506,7.5848308,-0.1127046325,0.19303342,-0.1649336275,
2.76,59.52,-8.7,10.0,-5.4907336,108.45739,97.063675,-11.760319,0.2681506,7.5848308,-0.9862419675,0.200058365,-1.1166616825,
2.22,59.34,-9.24,10.0,-1.406028,108.62443,96.80353,-11.760319,0.2681506,7.5848308,-0.390953746667,0.105068821333,-0.678467653333,
2.04,58.8,-9.719999,10.0,1.9747596,109.39434,96.99859,-11.760319,0.2681506,7.5848308,-0.409279705,-0.508850765,-1.0674869875,
2.46,58.559998,-9.96,10.0,2.4356925,108.039536,97.76552,-11.760319,0.2681506,7.5848308,-0.35185838925,-0.89797194,0.3475822875,
3.0,58.379997,-10.679999,10.0,2.8115752,110.23424,99.22797,-11.760319,0.2681506,7.5848308,0.3894265875,-1.706146675,3.5851681,
3.54,57.96,-11.099999,10.0,3.1016264,114.85985,101.121704,-11.760319,0.2681506,7.5848308,0.2855795,-1.79197315,3.565009575,
4.14,57.42,-11.88,10.0,3.5558589,117.84872,102.60367,-11.760319,0.2681506,7.5848308,-0.09498954625,-1.860695525,2.697580925,
5.22,57.0,-12.96,10.0,4.4319825,120.878006,104.65617,-11.760319,0.2681506,7.5848308,-0.169006053333,-1.8554014,2.15228196667,
6.2999997,56.399998,-13.74,10.0,5.1964407,123.13041,106.686966,-11.760319,0.2681506,7.5848308,0.08674286675,-1.75318325,1.41568019,
7.68,55.739998,-14.5199995,10.0,5.323387,124.3419,108.68488,-11.760319,0.2681506,7.5848308,0.3008511325,-1.8005253,0.4098905675,
9.0,55.079998,-14.94,10.0,5.0748124,124.84139,110.95438,-11.760319,0.2681506,7.5848308,0.3210096875,-2.18292695,0.5736024725,
10.32,54.3,-15.42,10.0,5.0869956,125.5661,113.00006,-11.760319,0.2681506,7.5848308,0.09010262425,-2.6725354,1.31702545,
11.5199995,53.16,-15.48,10.0,5.7234674,127.11989,116.12321,-11.760319,0.2681506,7.5848308,-0.1065959875,-2.5781568,1.776396125,
12.719999,52.32,-15.66,10.0,6.82745,128.96286,118.97611,-11.760319,0.2681506,7.5848308,-0.07574729225,-2.06716795,1.5198327,
13.74,51.42,-15.78,10.0,7.766852,130.45346,121.225365,-11.760319,0.2681506,7.5848308,0.0871501087667,-1.71327336667,1.17652646667,
14.5199995,50.52,-15.78,10.0,8.291418,131.70456,123.05307,-11.760319,0.2681506,7.5848308,0.36590829,-1.51861105,0.904080575,
15.599999,49.62,-15.719999,10.0,8.37487,132.52849,124.28348,-11.760319,0.2681506,7.5848308,0.483194395,-1.379944575,0.644768275,
16.32,48.84,-15.54,10.0,8.344776,133.49359,125.79656,-11.760319,0.2681506,7.5848308,0.2651155225,-1.13712565,0.6811147475,
17.039999,48.239998,-15.24,10.0,8.620329,134.31905,127.00749,-11.760319,0.2681506,7.5848308,-0.132252329,-0.7232644425,0.776409725,
17.699999,47.76,-15.179999,10.0,9.350338,134.94125,127.73358,-11.760319,0.2681506,7.5848308,-0.3906483225,-0.3885103025,0.6856962425,
18.6,47.52,-15.36,10.0,10.213177,135.25589,128.14629,-11.760319,0.2681506,7.5848308,-0.468737266667,-0.390953763333,0.436565023333,
19.02,47.16,-15.48,10.0,10.767581,135.27841,128.53346,-11.760319,0.2681506,7.5848308,-0.3930917825,-0.6432410875,0.3824016375,
19.74,46.86,-15.599999,10.0,11.418702,135.37912,129.35756,-11.760319,0.2681506,7.5848308,-0.2159408625,-0.998764675,0.6844744925,
20.22,46.379997,-15.54,10.0,12.4454715,136.15846,131.30296,-11.760319,0.2681506,7.5848308,-0.090652403,-1.37102596,0.68025955,
21.0,45.84,-15.66,10.0,12.4454715,136.15846,131.30296,-11.760319,0.2681506,7.5848308,-0.0460185166667,-1.56137156667,0.58602339,
21.66,45.36,-15.839999,10.0,9.13692975,140.19197,123.234312,-11.760319,0.2681506,7.5848308,-0.07574729125,-1.423010625,0.609338075,
22.5,45.0,-16.199999,10.0,9.13692975,140.19197,123.234312,-11.760319,0.2681506,7.5848308,-0.2068797,-1.09222703333,0.507832636667,
23.4,44.46,-16.38,10.0,7.9972544,139.63496,121.77012,-11.760319,0.2681506,7.5848308,-0.299629405,-0.690277725,0.11056661075,
24.06,43.739998,-16.32,10.0,8.335947,139.50713,122.57599,-11.760319,0.2681506,7.5848308,-0.2583959925,-0.3561344425,-0.058948498,
24.66,43.2,-16.56,10.0,8.583544,139.27945,123.000626,-11.760319,0.2681506,7.5848308,-0.643241095,0.2412917735,0.5201517475,
25.14,42.36,-16.92,10.0,10.363052,139.809205,122.00014,-11.760319,0.2681506,7.5848308,-0.81336706,1.12307575,1.365894675,
25.26,42.059998,-17.46,10.0,12.124567,140.7271,118.576546,-11.760319,0.2681506,7.5848308,-0.5183191575,2.4685065,0.700967831,
24.9,42.0,-17.88,10.0,12.124567,140.7271,118.576546,-11.760319,0.2681506,7.5848308,-0.5183191575,2.4685065,0.700967831,
23.039999,42.719997,-18.42,10.0,11.24620125,138.37349,113.2602655,-11.760319,0.2681506,7.5848308,-0.203051608,3.33752336,-1.57798712,
21.539999,43.079998,-18.48,10.0,11.24620125,138.37349,113.2602655,-11.760319,0.2681506,7.5848308,-0.103847092333,3.03559306667,0.058235822,
19.92,43.86,-19.02,10.0,11.206069,137.6407,106.357773,-11.760319,0.2681506,7.5848308,-0.07635815525,3.010038475,0.6151413,
17.88,44.46,-19.08,10.0,11.638956,138.90945,101.05541,-11.760319,0.2681506,7.5848308,-0.059253931,3.088229275,0.9990701175,
15.059999,45.539997,-18.9,10.0,11.952809,142.32361,96.62542,-11.760319,0.2681506,7.5848308,0.162490155,3.09189445,3.0644055,
12.24,46.2,-18.66,10.0,12.2336035,146.23279,91.83183,-11.760319,0.2681506,7.5848308,-0.0189368245,3.395799875,2.93215325,
9.12,46.92,-18.48,10.0,12.2336035,146.23279,91.83183,-11.760319,0.2681506,7.5848308,-0.406836253333,3.416773,0.537968673333,
9.12,46.92,-18.48,10.0,12.8245775,146.4046,86.7687,-11.760319,0.2681506,7.5848308,-0.19028452,2.218968025,-1.0983357125,
6.24,47.1,-18.72,10.0,12.267736,144.0933,84.00304,-11.760319,0.2681506,7.5848308,0.800538905,1.9330831,-1.31946895,
3.3,47.219997,-19.08,10.0,10.948902,142.11775,81.7792,-11.760319,0.2681506,7.5848308,1.3203852,2.214997375,-1.5961909,
0.78,47.64,-19.619999,10.0,10.035866,138.46078,79.63114,-11.760319,0.2681506,7.5848308,1.19210355,2.347555125,-2.9428433,
-3.1799998,48.899998,-20.64,10.0,9.570952,134.20944,77.7146,-11.760319,0.2681506,7.5848308,1.059851175,2.1481077,-3.31852545,
-4.08,49.62,-20.939999,10.0,9.270805,131.26964,76.72679,-11.760319,0.2681506,7.5848308,1.02136668667,1.5259414,-2.97287756667,
-4.5,50.46,-21.119999,10.0,8.855299,127.80271,76.352745,-11.760319,0.2681506,7.5848308,1.004262465,0.6514877825,-2.636494425,
-4.44,51.18,-20.88,10.0,8.289493,124.43015,77.13609,-11.760319,0.2681506,7.5848308,1.110553025,-0.350331225,-2.565634,
-4.44,51.18,-20.88,10.0,7.343541,121.5023,79.17873,-11.760319,0.2681506,7.5848308,1.28923115,-1.4969253,-2.07174945,
-4.44,51.18,-20.88,10.0,5.8681073,120.29596,82.3791,-11.760319,0.2681506,7.5848308,1.379639175,-2.647184475,-0.5534439225,
-4.44,51.18,-20.88,10.0,5.8681073,120.29596,82.3791,-7.2783732,3.217807,7.699753,1.379639175,-2.647184475,-0.5534439225,
-2.1599998,52.98,-19.08,10.0,4.559966,120.82775,85.11895,-7.2783732,3.217807,7.699753,1.32598483333,-3.02826266667,1.31498924333,
0.0,53.879997,-17.76,10.0,3.1630363,122.69481,88.03143,-7.2783732,3.217807,7.699753,0.7397578225,-1.7104227,1.53418805,
0.0,53.879997,-17.76,10.0,3.1033895,123.364006,87.67223,-7.2783732,3.217807,7.699753,-0.222762186667,1.08489666667,-0.0313577386667,
0.0,53.879997,-17.76,10.0,3.1033895,123.364006,87.67223,-9.270349,-1.340753,8.925584,-0.124005645,1.74463115,-1.49417635,
4.8599997,56.1,-14.4,10.0,3.232623,121.62652,85.867035,-9.270349,-1.340753,8.925584,0.3359759,1.2229522,-1.4135422,
4.8599997,56.1,-14.4,10.0,2.779919,119.80079,84.52531,-9.270349,-1.340753,8.925584,0.5299255975,1.202793725,-1.517389225,
4.8599997,56.1,-14.4,10.0,2.779919,119.80079,84.52531,-7.967903,1.7238252,6.3206925,0.5448918,1.192409,-2.321288,
7.56,57.6,-11.7,10.0,2.5265887,117.655,83.57451,-7.967903,1.7238252,6.3206925,0.2284636,0.8491027,-2.9321532,
7.56,57.6,-11.7,10.0,2.657302,114.495575,82.816956,-7.967903,1.7238252,6.3206925,0.23487768,0.756251175,-1.96606981,
7.56,57.6,-11.7,10.0,2.142392,114.47042,81.87572,-19.76653,7.699753,2.030283,0.40765074,0.68905599,0.89471393,
8.639999,58.14,-9.599999,10.0,2.142392,114.47042,81.87572,-19.76653,7.699753,2.030283,0.40765074,0.68905599,0.89471393,
7.68,58.44,-9.36,10.0,2.147865,115.761154,80.81034,-19.76653,7.699753,2.030283,-0.19242255,1.043357825,0.9920451875,
7.68,58.44,-9.36,10.0,1.6873963,116.34152,80.242226,-19.76653,7.699753,2.030283,0.515570246667,-0.0386881323333,0.17837266,
7.68,58.44,-9.36,10.0,1.3717098,116.37691,81.31258,-1.4939818,7.8912888,1.9153614,0.1383609785,-1.3988814,0.4902193425,
7.68,58.44,-9.36,10.0,1.3647854,119.137856,83.650536,-9.270349,0.076614454,-7.6614456,-0.41813726,-2.37137885,3.52591425,
7.68,58.44,-9.36,10.0,1.4175608,124.79635,86.86304,-10.151415,0.45968673,-4.7500963,-0.4822781175,-2.817921425,4.8224758,
7.68,58.44,-9.36,10.0,1.4175608,124.79635,86.86304,-11.683704,-1.3790601,-3.371036,-0.7892379,-2.6988027,4.288274,
2.52,57.18,-10.5,10.0,2.192816,129.91853,89.96983,-11.683704,-1.3790601,-3.371036,-1.00976022,-2.4648414,3.18382965,
2.52,57.18,-10.5,10.0,3.4777126,132.9001,92.72951,-11.683704,-1.3790601,-3.371036,-1.00548421333,-2.3591616,2.02644363333,
2.52,57.18,-10.5,10.0,4.1303835,133.59248,94.82552,-13.330915,-1.6089035,0.45968673,-0.4605924075,-2.3432791,0.5626068925,
2.52,57.18,-10.5,10.0,4.102477,134.07224,97.67531,-9.155427,0.80445176,0.6512229,0.291993585,-2.498133375,0.4184426875,
