MagZ,MagY,MagX,Light,OrientZ,OrientX,OrientY,AccY,AccX,AccZ,GyroZ,GyroX,GyroY
NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.6,-14.46,16.92,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.78,-15.12,15.24,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.18,-15.54,14.5199995,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.3,-15.54,15.299999,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.36,-16.08,14.34,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.6,-16.14,14.099999,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.66,-17.1,13.08,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-36.239998,-18.84,10.139999,NO-DATA,1.2669127,223.73027,-9.349869,1.7621324,0.38307226,9.500193,-0.06047566,-0.031764991925,-0.052534409,
-36.239998,-18.84,10.139999,NO-DATA,1.3487129,223.78088,-9.361177,2.1068976,0.34476504,9.615114,-0.062308256,0.0397062405,-0.0409279715,
-36.239998,-18.84,10.139999,NO-DATA,1.4231946,223.86354,-9.488158,2.1068976,0.34476504,9.615114,-0.1750128925,0.0675006095,-0.003054326,
-36.239998,-18.84,10.139999,NO-DATA,1.4154091,224.06615,-9.6259165,1.685518,0.11492168,9.5385,-0.19242255,0.1114829065,0.06017022575,
-36.18,-17.64,9.78,NO-DATA,1.27823415,224.303145,-9.8271465,1.685518,0.11492168,9.5385,-0.12675454,0.15027285,-0.0045814895,
-36.18,-17.64,9.78,NO-DATA,1.27823415,224.303145,-9.8271465,1.7238252,0.11492168,9.959879,-0.058235819,0.123802024667,-0.0272853146667,
-36.18,-17.64,9.78,NO-DATA,1.2710472,224.3883,-10.024825,1.8770541,0.19153613,10.113108,-0.07116580125,0.0696386365,0.0616973885,
-36.18,-17.64,9.78,NO-DATA,1.1746795,224.42096,-10.104452,1.7621324,0.15322891,9.385271,-0.10598512,0.1062905525,0.071165801,
-36.54,-17.76,9.36,NO-DATA,1.0877745,224.48392,-10.246806,1.7621324,0.15322891,9.385271,-0.071471234,0.1899790925,-0.04123340525,
-36.54,-17.76,9.36,NO-DATA,1.1979011,224.56031,-10.5540265,1.9536686,0.15322891,9.385271,-0.0620028235,0.14477506125,-0.112704639,
-36.48,-17.88,9.179999,NO-DATA,1.1979011,224.56031,-10.5540265,1.9536686,0.15322891,9.385271,-0.0855211316667,0.0456112723333,-0.0574213333333,
-36.42,-18.119999,9.24,NO-DATA,1.3040736,224.67155,-10.662718,1.9536686,0.15322891,9.385271,-0.095294979,0.019547688,0.0247400425,
-36.54,-18.119999,9.24,NO-DATA,1.2619857,224.7311,-10.68882,1.9536686,0.15322891,9.385271,-0.082772242,0.112704635,-0.0042760575,
-36.6,-18.18,9.3,NO-DATA,1.293027,224.7809,-10.850815,1.9536686,0.15322891,9.385271,-0.085521134,0.1554652075,-0.09285151775,
-36.54,-18.359999,9.36,NO-DATA,1.44854065,224.93688,-11.091695,1.9536686,0.15322891,9.385271,-0.15210545,0.07635815675,-0.09437868,
-36.48,-18.359999,9.3,NO-DATA,1.5054055,225.2032,-11.16241,1.9536686,0.15322891,9.385271,-0.195782305,0.02596177275,-0.0287106665,
-36.36,-18.48,9.3,NO-DATA,1.4114285,225.37474,-11.199985,1.9536686,0.15322891,9.385271,-0.19517144,0.02993239625,0.076663589,
-36.3,-18.42,9.36,NO-DATA,1.4114285,225.37474,-11.199985,1.9536686,0.15322891,9.385271,-0.204028996667,0.0329867226667,0.105068822,
-36.48,-18.42,9.3,NO-DATA,1.2658036,225.53293,-11.244704,1.9536686,0.15322891,9.385271,-0.18264871,0.090713489,0.00030543325,
-36.48,-18.359999,9.179999,NO-DATA,1.2744084,225.757065,-11.44936525,1.9536686,0.15322891,9.385271,-0.16890424,0.13836098,-0.06780603975,
-36.54,-18.359999,9.42,NO-DATA,1.2645295,226.04349,-11.6359825,1.9536686,0.15322891,9.385271,-0.240680905,0.06597344675,-0.00488692175,
-36.66,-18.48,9.24,NO-DATA,1.1731217,226.32158,-11.620601,1.9536686,0.15322891,9.385271,-0.279776275,-0.0290160995,0.02748893675,
-36.54,-18.48,9.42,NO-DATA,1.1776775,226.59515,-11.566092,1.9536686,0.15322891,9.385271,-0.2767219575,-0.04489859575,-0.06780604175,
-36.6,-18.24,9.42,NO-DATA,1.1776775,226.59515,-11.566092,1.9536686,0.15322891,9.385271,-0.283441483333,0.0118100626667,-0.137648303333,
-36.54,-18.119999,9.599999,NO-DATA,1.1776775,226.59515,-11.566092,1.9536686,0.15322891,9.385271,-0.283441483333,0.0118100626667,-0.137648303333,
-36.6,-18.119999,9.66,NO-DATA,1.29886895,227.042555,-11.6141225,1.9536686,0.11492168,9.461885,-0.3158173275,0.0968221425,-0.05589416965,
-36.6,-18.119999,9.66,NO-DATA,1.2354661,227.5207,-11.790162,1.9919758,0.076614454,9.308656,-0.3112358425,0.13988814,0.002748893575,
-36.6,-18.119999,9.66,NO-DATA,1.1891334,227.85533,-11.954106,1.9919758,0.076614454,9.308656,-0.2858849375,0.1337794925,-0.08063421325,
-36.6,-17.94,9.9,NO-DATA,1.1891334,227.85533,-11.954106,1.9919758,0.076614454,9.308656,-0.28038714,0.09162979,-0.1282817025,
-36.6,-17.94,9.9,NO-DATA,1.1891334,227.85533,-11.954106,2.2218192,0.15322891,9.576807,-0.30787608,0.0378736465,-0.13927728,
-36.6,-17.94,9.9,NO-DATA,1.322878,228.5886,-12.124049,2.2218192,0.15322891,9.576807,-0.36163223,-0.04764749,-0.08460483575,
-36.66,-17.64,10.0199995,NO-DATA,1.3055948,228.9183,-12.067922,2.2218192,0.15322891,9.576807,-0.38606682,-0.061086524,-0.004886922,
-36.66,-17.64,10.0199995,NO-DATA,1.3055948,228.9183,-12.067922,1.9536686,0.0,9.615114,-0.3933972,-0.02076942,0.05131268,
-36.66,-17.64,10.0199995,NO-DATA,1.1683758,229.36723,-12.0314665,1.9536686,0.0,9.615114,-0.369268035,0.0461203249,-0.00794124775,
-36.6,-17.52,10.32,NO-DATA,1.1683758,229.36723,-12.0314665,1.9536686,0.0,9.615114,-0.369268035,0.0461203249,-0.00794124775,
-36.6,-17.52,10.32,NO-DATA,1.142289,229.80025,-12.112437,2.0685902,0.11492168,9.500193,-0.329459983333,0.100996388,-0.130317918667,
-36.6,-17.52,10.32,NO-DATA,1.2176408,230.21136,-12.212924,2.0685902,0.11492168,9.500193,-0.3295618,0.05375614425,-0.12492194125,
-36.66,-17.52,10.32,NO-DATA,1.2176408,230.21136,-12.212924,2.0685902,0.11492168,9.500193,-0.3567453,0.002443461,-0.111177474,
