motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ
-0.2649561 , 0.4882205 , 0.2913635
0.4849793 , 0.2381204 , 0.7240186
0.5112262 , 0.07776067 , 0.6045309
0.04701623 , -0.1154895 , 0.6343468
0.1050967 , -0.2227269 , 0.8923066
0.03396035 , -0.4122591 , 0.9558312
-0.2098099 , -0.6354063 , 0.860441
-0.404195 , -0.5883319 , 0.6233328
-0.3792441 , -0.3231623 , 0.2720531
-0.2533678 , 0.2985545 , -0.9049074
-0.0843124 , 1.35569 , -1.673874
0.5420284 , 0.2072717 , -0.1766396
0.06801689 , 0.2640596 , 0.3019263
-0.9589257 , 1.175114 , 0.08127695
-0.9262576 , 1.235871 , 0.04847069
0.4886537 , -0.6382745 , 1.591093
0.08655325 , 0.1882744 , 1.10142
-0.06176524 , 0.5843863 , -0.01757419
0.331357 , 0.2300781 , 0.2152093
0.07636823 , -0.1513191 , 0.2118724
-0.1367352 , -0.2447057 , 0.15924
0.0509437 , -0.1179317 , 0.04042548
0.02484584 , -0.09667162 , 0.04205815
-0.04124429 , -0.1345742 , -0.1604274
-0.2306626 , 0.005471657 , -0.02030047
0.3867574 , 0.1012364 , 0.03050422
0.1675739 , 0.1621977 , -0.03256788
-0.4960279 , 0.2517732 , -0.566993
0.5828438 , 0.365665 , -0.149435
0.1452918 , 0.4812378 , -0.2934548
0.262365 , 0.6576325 , -0.4287314
0.2324619 , 0.3643965 , -0.607475
-0.04138356 , 0.3582092 , -0.4956892
-0.04093397 , 0.5513072 , 0.7210556
-0.4915973 , 0.3499649 , -0.08424667
-0.4985059 , 0.3845744 , -0.01937589
0.4333983 , 0.3193571 , 0.5910957
0.2791125 , 0.01212879 , 0.5188015
0.1040473 , -0.03871351 , 0.5534038
0.1347588 , -0.2601147 , 0.8385309
0.096646 , -0.3873183 , 0.9842629
-0.0234155 , -0.5893839 , 0.9185443
-0.1128539 , -0.7475011 , 0.7057921
-0.2854143 , -0.5185145 , 0.3338184
-0.4157088 , 0.1507068 , -0.7901464
0.06170501 , 1.51976 , -0.9862049
0.1947301 , -0.3958446 , -0.2936718
-0.06635499 , -0.4598162 , 0.1062648
-1.046645 , 0.9899939 , 0.3957521
-0.2084333 , 0.3728704 , 0.9095722
