min,max,avg,stdVar
0.00467550604082 , 0.0161874839585 , 0.0109107779211 , 0.00273883134217
0.00467550604082 , 0.0175532856165 , 0.0108773598426 , 0.00271673215663
0.00490410404445 , 0.0175532856165 , 0.0106268480643 , 0.00255890244732
0.00302938887322 , 0.0153575901657 , 0.0103591853472 , 0.00240770004468
0.00302938887322 , 0.0147191928959 , 0.00991097766672 , 0.00220462553178
0.00492411808682 , 0.0152903556072 , 0.0102197232206 , 0.0023372032521
0.00354781330765 , 0.0152903556072 , 0.0105457426468 , 0.00251103548988
0.00354781330765 , 0.0157732255556 , 0.0103260621524 , 0.00239040814628
0.00396032160259 , 0.015832597498 , 0.0105344556029 , 0.00250450975903
0.00396032160259 , 0.015832597498 , 0.0103947675322 , 0.00242664211946
0.00587935223583 , 0.0147443366684 , 0.0101254935396 , 0.0022931483778
0.00521679658462 , 0.0161588846734 , 0.0101954241061 , 0.00232555730359
0.00416559554178 , 0.0161588846734 , 0.00993463656473 , 0.0022135425815
0.00416559554178 , 0.01765685623 , 0.0102246860583 , 0.00233960572092
0.00565278460683 , 0.01765685623 , 0.0106901716806 , 0.00259742248169
0.00509709744916 , 0.016575349282 , 0.0105423638583 , 0.00250907846065
0.00509709744916 , 0.017385765664 , 0.0106387437553 , 0.00256606355506
0.00393868646743 , 0.017385765664 , 0.0105645252517 , 0.00252196940824
0.00393868646743 , 0.0157970154367 , 0.0103486310729 , 0.00240215413897
0.00417698775593 , 0.0157970154367 , 0.010148347371 , 0.00230355649445
0.00278936863061 , 0.0149263141048 , 0.01006374263 , 0.00226593960783
0.00278936863061 , 0.0158336697735 , 0.0102791392287 , 0.00236648949959
0.00543460940223 , 0.0175038947191 , 0.0104633347223 , 0.00246418225377
0.00543460940223 , 0.0175038947191 , 0.0102730279117 , 0.0023634250483
0.00505608264209 , 0.0163216062894 , 0.00981166815552 , 0.00216961160437
0.00505608264209 , 0.0163216062894 , 0.00993003945591 , 0.0022117929336
0.00457641998849 , 0.0170152813282 , 0.00969102589209 , 0.00213253148217
0.00136709279389 , 0.0170152813282 , 0.00942029159053 , 0.00207259751868
0.00136709279389 , 0.0154280834023 , 0.00938507532158 , 0.00206728121786
0.00369060919108 , 0.0147197860477 , 0.00931008101112 , 0.00205792326941
0.00369060919108 , 0.0156535572013 , 0.00939830319061 , 0.00206920943686
0.00444903171877 , 0.0156535572013 , 0.00964954670465 , 0.00212121844628
0.004952998785 , 0.0147537681662 , 0.00975990649794 , 0.00215295268088
0.0048233291158 , 0.0162427768177 , 0.00960888985888 , 0.00211086198452
0.0048233291158 , 0.0162427768177 , 0.00991212937109 , 0.00220505456689
0.00491278519297 , 0.0155171707548 , 0.0100551240796 , 0.00226225011283
0.0041708371223 , 0.0158131846173 , 0.00995748269409 , 0.00222235839021
0.0041708371223 , 0.0158131846173 , 0.00991559770656 , 0.0022063497252
0.00426128270114 , 0.0145597197781 , 0.00981307807161 , 0.00217008085433
0.00395089311403 , 0.0142626617296 , 0.00970793755136 , 0.00213735780213
0.00251981794117 , 0.0155463640536 , 0.00976720435419 , 0.00215523393503
0.00251981794117 , 0.0155463640536 , 0.00994508413945 , 0.00221754920848
0.00530965529981 , 0.0174548349458 , 0.01025975906 , 0.00235681236977
0.00472834418788 , 0.0174548349458 , 0.0101621052799 , 0.00230990855447
0.00472834418788 , 0.0165625652688 , 0.0100782714714 , 0.00227221966797
0.0052680337688 , 0.0160915343502 , 0.0101526102251 , 0.00230551775772
0.00518674600243 , 0.0160915343502 , 0.00986822589245 , 0.00218906880735
0.00298114806109 , 0.0139104180189 , 0.00966099262748 , 0.00212426531575
0.00298114806109 , 0.0142217040588 , 0.00992446104781 , 0.00220968078939
0.0054054168414 , 0.0142217040588 , 0.00997272445434 , 0.0022283507097
0.00514961807877 , 0.0173565051777 , 0.00966976442776 , 0.00212663908401
0.00444437807884 , 0.0173565051777 , 0.00933313433075 , 0.00206051389382
0.00444437807884 , 0.0148368242509 , 0.00930247498426 , 0.00205712450466
0.0051802096685 , 0.0152628987681 , 0.00956804970128 , 0.00210119957954
0.00387601310466 , 0.0152628987681 , 0.00949488887604 , 0.00208577869374
0.00387601310466 , 0.0156419788644 , 0.00970036407796 , 0.00213518124029
0.0032468630785 , 0.0156419788644 , 0.00961879600479 , 0.00211331796914
0.0032468630785 , 0.0165748633739 , 0.00957905352712 , 0.00210372932107
0.00490474046973 , 0.0165748633739 , 0.0100529172152 , 0.00226130969575
0.00537276162016 , 0.0153750440661 , 0.0100834272539 , 0.00227446638602
0.00382373543036 , 0.0147812722158 , 0.00983983459799 , 0.00217913976496
0.00382373543036 , 0.0162428241731 , 0.00979696504696 , 0.00216476675734
0.00394086468792 , 0.0162428241731 , 0.0100592283844 , 0.00226400377306
0.00497044971573 , 0.0147259882026 , 0.0101406061121 , 0.0023000108044
0.00497044971573 , 0.0145086603415 , 0.0101060623636 , 0.00228444155117
0.00570698649461 , 0.0145086603415 , 0.00990112208616 , 0.00220097533661
0.00445589844841 , 0.0158953306605 , 0.00975007828343 , 0.0021499157767
0.00445589844841 , 0.0169158802032 , 0.00995601135865 , 0.00222178461121
0.00448267980752 , 0.0169158802032 , 0.0100626995542 , 0.00226549165558
0.0043791505441 , 0.0194512047362 , 0.0103140224485 , 0.00238420579796
0.00354305578371 , 0.0194512047362 , 0.00965462850648 , 0.00212256412773
0.00354305578371 , 0.014290092651 , 0.00902125895649 , 0.00204730425705
0.000816938167374 , 0.0162374317303 , 0.00927587009018 , 0.00205454960116
